Pedro González-Barrachina, University of Alicante;María Alfaro-Contreras, University of Alicante;Jorge Calvo-Zaragoza, University of Alicante	Pedro González-Barrachina, University of Alicante	María Alfaro-Contreras, University of Alicante	Jorge Calvo-Zaragoza, University of Alicante																
Elena Georgieva, NYU;Pablo Ripollés, New York University;Brian McFee, New York University	Elena Georgieva, NYU	Pablo Ripollés, New York University	Brian McFee, New York University																
Jiwoo Ryu, Sogang University;Hao-Wen Dong, University of Michigan;Jongmin Jung, Sogang University;Dasaem Jeong, Sogang University	Jiwoo Ryu, Sogang University	Hao-Wen Dong, University of Michigan	Jongmin Jung, Sogang University	Dasaem Jeong, Sogang University															
Yun-Han Lan, Taiwan AI Labs;Wen-Yi Hsiao, Taiwan AI Labs;Hao-Chung Cheng, National Taiwan University;Yi-Hsuan Yang, National Taiwan University	Yun-Han Lan, Taiwan AI Labs	Wen-Yi Hsiao, Taiwan AI Labs	Hao-Chung Cheng, National Taiwan University	Yi-Hsuan Yang, National Taiwan University															
Noelia N Luna-Barahona, Universidad de Alicante;Adrián Roselló, Universidad de Alicante;María Alfaro-Contreras, University of Alicante;David Rizo, University of Alicante. Instituto Superior de Enseñanzas Artísrticas de la Comunidad Valenciana;Jorge Calvo-Zaragoza, University of Alicante	Noelia N Luna-Barahona, Universidad de Alicante	Adrián Roselló, Universidad de Alicante	María Alfaro-Contreras, University of Alicante	David Rizo, University of Alicante. Instituto Superior de Enseñanzas Artísrticas de la Comunidad Valenciana	Jorge Calvo-Zaragoza, University of Alicante														
Patricia Hu, Johannes Kepler University;Lukáš Samuel Marták, Johannes Kepler University Linz;Carlos Eduardo Cancino-Chacón, Johannes Kepler University Linz;Gerhard Widmer, Johannes Kepler University	Patricia Hu, Johannes Kepler University	Lukáš Samuel Marták, Johannes Kepler University Linz	Carlos Eduardo Cancino-Chacón, Johannes Kepler University Linz	Gerhard Widmer, Johannes Kepler University															
Tsung-Ping Chen, Kyoto University;Kazuyoshi Yoshii, Kyoto University	Tsung-Ping Chen, Kyoto University	Kazuyoshi Yoshii, Kyoto University																	
Sujoy Roychowdhury, Indian Institute of Technology Bombay;Preeti Rao, Indian Institute of Technology  Bombay;Sharat Chandran, IIT Bombay	Sujoy Roychowdhury, Indian Institute of Technology Bombay	Preeti Rao, Indian Institute of Technology  Bombay	Sharat Chandran, IIT Bombay																
Lidia J Morris, University of Washington;Rebecca Leger, Fraunhofer IIS;Michele Newman, University of Washington;John Ashley Burgoyne, University of Amsterdam;Ryan Groves, Self-employed;Natasha Mangal, CISAC;Jin Ha Lee, University of Washington	Lidia J Morris, University of Washington	Rebecca Leger, Fraunhofer IIS	Michele Newman, University of Washington	John Ashley Burgoyne, University of Amsterdam	Ryan Groves, Self-employed	Natasha Mangal, CISAC	Jin Ha Lee, University of Washington												
Jinlong ZHU, Hokkaido University;Keigo Sakurai, Hokkaido University;Ren Togo, Hokkaido University;Takahiro Ogawa, Hokkaido University;Miki Haseyama, Hokkaido University	Jinlong ZHU, Hokkaido University	Keigo Sakurai, Hokkaido University	Ren Togo, Hokkaido University	Takahiro Ogawa, Hokkaido University	Miki Haseyama, Hokkaido University														
Nicholas Cornia, Orpheus Instituut;Bruno Forment, Orpheus Instituut	Nicholas Cornia, Orpheus Instituut	Bruno Forment, Orpheus Instituut																	
Julian Lenz, Lemonaide ;Anirudh Mani, Lemonaide	Julian Lenz, Lemonaide 	Anirudh Mani, Lemonaide																	
Yu-Hua Chen, NTU;Yen-Tung Yeh, National Taiwan University;Yuan-Chiao Cheng, Positive Grid;Jui-Te Wu, Positive Grid; Yu-Hsiang Ho, Positive Grid ;Jyh-Shing Roger Jang, National Taiwan University;Yi-Hsuan Yang, National Taiwan University	Yu-Hua Chen, NTU	Yen-Tung Yeh, National Taiwan University	Yuan-Chiao Cheng, Positive Grid	Jui-Te Wu, Positive Grid	 Yu-Hsiang Ho, Positive Grid 	Jyh-Shing Roger Jang, National Taiwan University	Yi-Hsuan Yang, National Taiwan University												
Xingjian Du, University of Rochester;Zou Pei, ByteDance;Mingyu Liu, ByteDance;Xia Liang, Bytedance;Huidong Liang, University of Oxford;Minghang Chu, Bytedance;Zijie Wang, ByteDance;Bilei Zhu, ByteDance AI Lab	Xingjian Du, University of Rochester	Zou Pei, ByteDance	Mingyu Liu, ByteDance	Xia Liang, Bytedance	Huidong Liang, University of Oxford	Minghang Chu, Bytedance	Zijie Wang, ByteDance	Bilei Zhu, ByteDance AI Lab											
