Authors	Title	Year	Link	Authors with Affiliations	aff_names	Affiliation type	Affiliation country
Mari Itoh	Subject Search for Music: Quantitative Analysis of Access Point Selection.	2000	https://doi.org/10.5281/zenodo.1414950	Mari Itoh, Graduate School of Library and Information Science, Aichi Shukutoku University, JPN, education	Aichi Shukutoku University	education	JPN
Beth Logan	Mel Frequency Cepstral Coefficients for Music Modeling.	2000	https://doi.org/10.5281/zenodo.1416444	Beth Logan, Cambridge Research Laboratory, USA, facility, Compaq Computer Corporation, USA, company	Compaq Computer Corporation	company	USA
Özgür Izmirli	Using a Spectral Flatness Based Feature for Audio Segmentation and Retrieval.	2000	https://doi.org/10.5281/zenodo.1416438	Ozgur Izmirli, Center for Arts and Technology, Connecticut College, USA, education	Connecticut College	education	USA
Jonathan Foote	ARTHUR: Retrieving Orchestral Music by Long-Term Structure.	2000	https://doi.org/10.5281/zenodo.1416644	Jonathan Foote, FX Palo Alto Laboratory, Inc., USA, company	FX Palo Alto Laboratory	company	USA
Dave Cliff;Heppie Freeburn	Exploration of Point-Distribution Models for Similarity-based Classification and Indexing of Polyphonic Music.	2000	https://doi.org/10.5281/zenodo.1416572	Dave Cliff, Hewlett-Packard Labs, GBR, company;Heppie Freeburn, Hewlett-Packard Labs, GBR, company	 Hewlett-Packard Labs, Hewlett-Packard Labs	company, company	USA, USA
Thomas von Schroeter;Shyamala Doraisamy;Stefan M. Rüger	From Raw Polyphonic Audio to Locating Recurring Themes.	2000	https://doi.org/10.5281/zenodo.1416124	Thomas von Schroeter, Imperial College of Science, Technology and Medicine, GBR, education;Shyamala Doraisamy, University Putra Malaysia, MYS, education;Stefan M Rüger, Imperial College of Science, Technology and Medicine, GBR, education	 Imperial College of Science Technology and Medicine, University Putra Malaysia, Imperial College of Science Technology and Medicine	education, education, education	GBR, MYS, GBR
Jon W. Dunn	Beyond VARIATIONS: Creating a Digital Music Library.	2000	https://doi.org/10.5281/zenodo.1415148	Jon W. Dunn, Indiana University, USA, education	Indiana University Bloomington	education	USA
Alain Bonardi	IR for Contemporary Music: What the Musicologist Needs.	2000	https://doi.org/10.5281/zenodo.1415912	Alain Bonardi, IRCAM, FRA, facility	IRCAM	facility	FRA
G. Sayeed Choudhury;M. Droetboom;Tim DiLauro;Ichiro Fujinaga;Brian Harrington; Karl MacMillan	Optical Music Recognition System within a Large-Scale Digitization Project.	2000	https://doi.org/10.5281/zenodo.1415730	G. Sayeed Choudhury, Johns Hopkins University, USA, education;Tim DiLauro, Johns Hopkins University, USA, education;Michael Droettboom, Johns Hopkins University, USA, education;Ichiro Fujinaga, Johns Hopkins University, USA, education;Brian Harrington, Johns Hopkins University, USA, education;Karl MacMillan, Johns Hopkins University, USA, education	 Johns Hopkins University, Johns Hopkins University, Johns Hopkins University, Johns Hopkins University, Johns Hopkins University, Johns Hopkins University	education, education, education, education, education, education	USA, USA, USA, USA, USA, USA
Juan Pablo Bello;Giuliano Monti;Mark B. Sandler	Techniques for Automatic Music Transcription.	2000	https://doi.org/10.5281/zenodo.1414872	Juan Pablo Bello, King’s College London, GBR, education;Giuliano Monti, King’s College London, GBR, education;Mark Sandler, King’s College London, GBR, education	 King’s College London, King’s College London, King’s College London	education, education, education	GBR, GBR, GBR
Youngmoo E. Kim;Wei Chai;Ricardo García;Barry Vercoe	Analysis of a Contour-based Representation for Melody.	2000	https://doi.org/10.5281/zenodo.1416760	Youngmoo E. Kim, MIT Media Lab, USA, education;Wei Chai, MIT Media Lab, USA, education;Ricardo Garcia, MIT Media Lab, USA, education;Barry Vercoe, MIT Media Lab, USA, education	 MIT, MIT , MIT , MIT 	education, education, education, education	USA, USA, USA, USA
Wei Chai;Barry Vercoe	Using User Models in Music Information Retrieval Systems.	2000	https://doi.org/10.5281/zenodo.1415898	Wei Chai, Massachusetts Institute of Technology, USA, education;Barry Vercoe, Massachusetts Institute of Technology, USA, education	MIT,MIT	education, education	USA, USA
Arbee L. P. Chen	Music Representation, Indexing and Retrieval at NTHU.	2000	https://doi.org/10.5281/zenodo.1417981	Arbee L.P. Chen, National Tsing Hua University, TWN, education	National Tsing Hua University	education	TWN
David Huron	Perceptual and Cognitive Applications in Music Information Retrieval.	2000	https://doi.org/10.5281/zenodo.1414794	David Huron, Ohio State University, USA, education	Ohio State University	education	USA
Perry R. Cook;George Tzanetakis	Audio Information Retrieval (AIR) Tools.	2000	https://doi.org/10.5281/zenodo.1416716	George Tzanetakis, Princeton University, USA, education; Perry Cook, Princeton University, USA, education	Princeton University, Princeton University	education, education	USA, USA
Anastasia Georgaki;Spyros Raptis;Stelios Bakamidis	A Music Interface for Visually Impaired People in the WEDELMUSIC Environment. Design and Architecture.	2000	https://doi.org/10.5281/zenodo.1417291	Anastasia Georgaki, Institute for Language and Speech Processing, GRC, facility;Spyros Raptis, Institute for Language and Speech Processing, GRC, facility;Stelios Bakamidis, Institute for Language and Speech Processing, GRC, facility	R.C. Athena,R.C. Athena,R.C. Athena	facility, facility, facility	GRC, GRC, GRC
Michael Good	Representing Music Using XML.	2000	https://doi.org/10.5281/zenodo.1415032	Michael Good, Recordare, USA, company	Recordare	company	USA
Alexandra L. Uitdenbogerd;Justin Zobel	Music Ranking Techniques Evaluated.	2000	https://doi.org/10.5281/zenodo.1414990	Alexandra L. Uitdenbogerd, RMIT University, AUS, education;Justin Zobel, RMIT University, AUS, education	 RMIT University, RMIT University	education, education	AUS, AUS
Alexandra L. Uitdenbogerd;Abhijit Chattaraj;JustinZobel	Music IR: Past, Present, and Future.	2000	https://doi.org/10.5281/zenodo.1417545	Alexandra L. Uitdenbogerd, RMIT University, AUS, education;Abhijit Chattaraj, RMIT University, AUS, education;Justin Zobel, RMIT University, AUS, education	 RMIT University, RMIT University, RMIT University	education, education, education	AUS, AUS, AUS
Eleanor Selfridge-Field	What Motivates a Musical Query?.	2000	https://doi.org/10.5281/zenodo.1415970	Eleanor Selfridge-Field, Stanford University, USA, education	Stanford University	education	USA
Mary Levering	Intellectual Property Rights in Musical Works: Overview, Digital Library Issues and Related Initiatives.	2000	https://doi.org/10.5281/zenodo.1416786	Mary Levering, U.S. Copyright Office, Library of Congress, USA, facility	U.S. Copyright Office Library of Congress	facility	USA
Michael Clausen;R. Engelbrecht;D. Meyer;J. Schmitz	PROMS: A Web-based Tool for Searching in Polyphonic Music.	2000	https://doi.org/10.5281/zenodo.1417139	M. Clausen, Universität Bonn, DEU, education;R. Engelbrecht, Universität Bonn, DEU, education;D. Meyer, Universität Bonn, DEU, education;J. Schmitz, Universität Bonn, DEU, education	University of Bonn,University of Bonn,University of Bonn,University of Bonn	education, education, education, education	DEU, DEU, DEU, DEU
Eloi Batlle;Pedro Cano	Automatic Segmentation for Music Classification using Competitive Hidden Markov Models.	2000	https://doi.org/10.5281/zenodo.1416764	Eloi Batlle, Universitat Pompeu Fabra, ESP, education;Pedro Cano, Universitat Pompeu Fabra, ESP, education	 Universitat Pompeu Fabra, Universitat Pompeu Fabra	education, education	ESP, ESP
Perfecto Herrera-Boyer;Xavier Amatriain;Eloi Batlle;Xavier Serra	Towards Instrument Segmentation for Music Content Description: a Critical Review of Instrument Classification Techniques.	2000	https://doi.org/10.5281/zenodo.1416768	Perfecto Herrera, Pompeu Fabra University, ESP, education;Xavier Amatriain, Pompeu Fabra University, ESP, education;Eloi Batlle, Pompeu Fabra University, ESP, education;Xavier Serra, Pompeu Fabra University, ESP, education	 Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra	education, education, education, education	ESP, ESP, ESP, ESP
