"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Sponsors","Conference name","Conference date","Conference location","Conference code"
"Taenzer M.; Abeßer J.; Mimilakis S.I.; Weiß C.; Müller M.; Lukashevich H.","Taenzer, Michael (57208817830); Abeßer, Jakob (36607532300); Mimilakis, Stylianos I. (55378090100); Weiß, Christof (56273046500); Müller, Meinard (7404689873); Lukashevich, Hanna (6508121862)","57208817830; 36607532300; 55378090100; 56273046500; 7404689873; 6508121862","Investigating CNN-based instrument family recognition for western classical music recordings","2019","Proceedings of the 20th International Society for Music Information Retrieval Conference, ISMIR 2019","14","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087094413&partnerID=40&md5=c6991436626fd2085c47d97f045f9ea2","Fraunhofer IDMT, Ilmenau, Germany; International Audio Laboratories Erlangen, Germany","Taenzer M., Fraunhofer IDMT, Ilmenau, Germany; Abeßer J., Fraunhofer IDMT, Ilmenau, Germany; Mimilakis S.I., Fraunhofer IDMT, Ilmenau, Germany; Weiß C., International Audio Laboratories Erlangen, Germany; Müller M., International Audio Laboratories Erlangen, Germany; Lukashevich H., Fraunhofer IDMT, Ilmenau, Germany","Western classical music comprises a rich repertoire composed for different ensembles. Often, these ensembles consist of instruments from one or two of the families woodwinds, brass, piano, vocals, and strings. In this paper, we consider the task of automatically recognizing instrument families from music recordings. As one main contribution, we investigate the influence of data normalization, pre-processing, and augmentation techniques on the generalization capability of the models. We report on experiments using three datasets of monotimbral recordings covering different levels of timbral complexity: isolated notes, isolated melodies, and polyphonic pieces. While data augmentation and the normalization of spectral patches turned out to be beneficial, pre-processing strategies such as logarithmic compression and channel-energy normalization did not lead to substantial improvements. Furthermore, our cross-dataset experiments indicate the necessity of further optimization routines such as domain adaptation. © 2020 International Society for Music Information Retrieval. All rights reserved.","","Information retrieval; Augmentation techniques; Classical musics; Data augmentation; Data normalization; Domain adaptation; Generalization capability; Logarithmic compression; Optimization routine; Audio recordings","M. Taenzer; Fraunhofer IDMT, Ilmenau, Germany; email: michael.taenzer@idmt.fraunhofer.de","","20th International Society for Music Information Retrieval Conference, ISMIR 2019","4 November 2019 through 8 November 2019","Delft","160244"
"Zangerle E.; Huber R.; Vötter M.; Yang Y.-H.","Zangerle, Eva (36186499400); Huber, Ramona (57217330525); Vötter, Michael (57209103369); Yang, Yi-Hsuan (55218558400)","36186499400; 57217330525; 57209103369; 55218558400","Hit song prediction: Leveraging low- and high-level audio features","2019","Proceedings of the 20th International Society for Music Information Retrieval Conference, ISMIR 2019","13","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087094653&partnerID=40&md5=7502e17f9f434aa0c563b059a3af7477","University of Innsbruck, Austria; Academia Sinica, Taipei, Taiwan","Zangerle E., University of Innsbruck, Austria; Huber R., University of Innsbruck, Austria; Vötter M., University of Innsbruck, Austria; Yang Y.-H., Academia Sinica, Taipei, Taiwan","Assessing the potential success of a given song based on its acoustic characteristics is an important task in the music industry. This task has mostly been approached from an internal perspective, utilizing audio descriptors to predict the success of a given song, where either low- or high-level audio features have been utilized separately. In this work, we aim to jointly exploit low- and high-level audio features and model the prediction as a regression task. Particularly, we make use of a wide and deep neural network architecture that allows for jointly exploiting low- and high-level features. Furthermore, we enrich the set of features with information about the release year of tracks. We evaluate our approach based on the Million Song Dataset and characterize a song as a hit if it is contained in the Billboard Hot 100 at any point in time. Our findings suggest that the proposed approach is able to outperform baseline approaches as well as approaches utilizing low- or high-level features individually. Furthermore, we find that incorporating the release year as well as features describing the mood and vocals of a song improve prediction results. © 2020 International Society for Music Information Retrieval. All rights reserved.","","Deep neural networks; Information retrieval; Network architecture; Acoustic characteristic; Audio features; Descriptors; High-level features; Music industry; Forecasting","Y.-H. Yang; Academia Sinica, Taipei, Taiwan; email: yang@citi.sinica.edu.tw","","20th International Society for Music Information Retrieval Conference, ISMIR 2019","4 November 2019 through 8 November 2019","Delft","160244"
"Tsuchida S.; Fukayama S.; Hamasaki M.; Goto M.","Tsuchida, Shuhei (55646446900); Fukayama, Satoru (56407004300); Hamasaki, Masahiro (14066071000); Goto, Masataka (7403505330)","55646446900; 56407004300; 14066071000; 7403505330","Aist dance video database: Multi-genre, multi-dancer, and multi-camera database for dance information processing","2019","Proceedings of the 20th International Society for Music Information Retrieval Conference, ISMIR 2019","55","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087096677&partnerID=40&md5=02a801b1660cde92300e5279251a7510","National Institute of Advanced Industrial Science and Technology (AIST), Japan","Tsuchida S., National Institute of Advanced Industrial Science and Technology (AIST), Japan; Fukayama S., National Institute of Advanced Industrial Science and Technology (AIST), Japan; Hamasaki M., National Institute of Advanced Industrial Science and Technology (AIST), Japan; Goto M., National Institute of Advanced Industrial Science and Technology (AIST), Japan","We describe the AIST Dance Video Database (AIST Dance DB), a shared database containing original street dance videos with copyright-cleared dance music. Although dancing is highly related to dance music and dance information can be considered an important aspect of music information, research on dance information processing has not yet received much attention in the Music Information Retrieval (MIR) community. We therefore developed the AIST Dance DB as the first large-scale shared database focusing on street dances to facilitate research on a variety of tasks related to dancing to music. It consists of 13,939 dance videos covering 10 major dance genres as well as 60 pieces of dance music composed for those genres. The videos were recorded by having 40 professional dancers (25 male and 15 female) dance to those pieces. We carefully designed this database so that it can cover both solo dancing and group dancing as well as both basic choreography moves and advanced moves originally choreographed by each dancer. Moreover, we used multiple cameras surrounding a dancer to simultaneously shoot from various directions. The AIST Dance DB will foster new MIR tasks such as dance-motion genre classification, dancer identification, and dance-technique estimation. We propose a dance-motion genre-classification task and developed four baseline methods of identifying dance genres of videos in this database. We evaluated these methods by extracting dancer body motions and training their classifiers on the basis of long short-term memory (LSTM) recurrent neural network models and support-vector machine (SVM) models. © Shuhei Tsuchida, Satoru Fukayama, Masahiro Hamasaki, Masataka Goto.","","Database systems; Information retrieval; Long short-term memory; Support vector machines; Video cameras; Video recording; Video signal processing; Baseline methods; Genre classification; Multi-cameras; Multiple cameras; Music information; Music information retrieval; Recurrent neural network model; Video database; Classification (of information)","","","20th International Society for Music Information Retrieval Conference, ISMIR 2019","4 November 2019 through 8 November 2019","Delft","160244"
"Cano E.; Beveridge S.","Cano, Estefanía (51161075800); Beveridge, Scott (57218450585)","51161075800; 57218450585","Microtiming analysis in traditional shetland fiddle music","2019","Proceedings of the 20th International Society for Music Information Retrieval Conference, ISMIR 2019","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087096159&partnerID=40&md5=851ea31c6dd6d45bd736db4957010344","Fraunhofer IDMT, Germany; Songquito, Germany","Cano E., Fraunhofer IDMT, Germany; Beveridge S., Songquito, Germany","This work aims to characterize microtiming variations in traditional Shetland fiddle music. These microtiming variations dictate the rhythmic flow of a performed melody, and contribute, among other things, to the suitability of this music as an accompaniment to dancing. In the context of Shetland fiddle music, these microtiming variations are often referred to as lilt. Using a corpus of 27 traditional fiddle tunes from the Shetland Isles, we examine inter-beat timing deviations, as well as inter-onset timing deviations of eighth note sequences. Results show a number of distinct inter-beat and inter-onset rhythmic patterns that may characterize lilt, as well as idiosyncratic patterns for each performer. This paper presents a first step towards the use of Music Information Retrieval (MIR) techniques for modelling lilt in traditional Scottish fiddle music, and highlights its implications in the field of ethnomusicology. © 2020 International Society for Music Information Retrieval. All rights reserved.","","Information retrieval; Music information retrieval; Rhythmic patterns; Computer music","","","20th International Society for Music Information Retrieval Conference, ISMIR 2019","4 November 2019 through 8 November 2019","Delft","160244"
"Wang C.; Benetos E.; Lostanlen V.; Chew E.","Wang, Changhong (57216729718); Benetos, Emmanouil (16067946900); Lostanlen, Vincent (57170761700); Chew, Elaine (8706714000)","57216729718; 16067946900; 57170761700; 8706714000","Adaptive time-frequency scattering for periodic modulation recognition in music signals","2019","Proceedings of the 20th International Society for Music Information Retrieval Conference, ISMIR 2019","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087096038&partnerID=40&md5=2df319cc5a5908e14ed975b551795808","Centre for Digital Music, Queen Mary University of London, United Kingdom; Music and Audio Research Laboratory, New York University, NY, United States; CNRS-UMR9912/STMS IRCAM, Paris, France","Wang C., Centre for Digital Music, Queen Mary University of London, United Kingdom; Benetos E., Centre for Digital Music, Queen Mary University of London, United Kingdom; Lostanlen V., Music and Audio Research Laboratory, New York University, NY, United States; Chew E., CNRS-UMR9912/STMS IRCAM, Paris, France","Vibratos, tremolos, trills, and flutter-tongue are techniques frequently found in vocal and instrumental music. A common feature of these techniques is the periodic modulation in the time-frequency domain. We propose a representation based on time-frequency scattering to model the interclass variability for fine discrimination of these periodic modulations. Time-frequency scattering is an instance of the scattering transform, an approach for building invariant, stable, and informative signal representations. The proposed representation is calculated around the wavelet subband of maximal acoustic energy, rather than over all the wavelet bands. To demonstrate the feasibility of this approach, we build a system that computes the representation as input to a machine learning classifier. Whereas previously published datasets for playing technique analysis focus primarily on techniques recorded in isolation, for ecological validity, we create a new dataset to evaluate the system. The dataset, named CBF-periDB, contains fulllength expert performances on the Chinese bamboo flute that have been thoroughly annotated by the players themselves. We report F-measures of 99% for flutter-tongue, 82% for trill, 69% for vibrato, and 51% for tremolo detection, and provide explanatory visualisations of scattering coefficients for each of these techniques. © 2020 International Society for Music Information Retrieval. All rights reserved.","","Flutter (aerodynamics); Frequency domain analysis; Information retrieval; Learning systems; Ecological validity; Expert performance; Periodic modulation; Playing techniques; Scattering co-efficient; Scattering transforms; Signal representations; Time frequency domain; Modulation","","","20th International Society for Music Information Retrieval Conference, ISMIR 2019","4 November 2019 through 8 November 2019","Delft","160244"
"Bretan M.; Heck L.","Bretan, Mason (55193092700); Heck, Larry (7005241213)","55193092700; 7005241213","Learning semantic similarity in music via self-supervision","2019","Proceedings of the 20th International Society for Music Information Retrieval Conference, ISMIR 2019","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087095586&partnerID=40&md5=63555b89cb41fcaa853a8bd14e406968","Samsung Research America, United States","Bretan M., Samsung Research America, United States; Heck L., Samsung Research America, United States","Neural networks have been used to learn a latent ""musical space"" or ""embedding"" to encode meaningful features and provide a method of measuring semantic similarity between two musical passages. An ideal embedding is one that both captures features useful for downstream tasks and conforms to a distribution suitable for sampling and meaningful interpolation. We present two new methods for learning musical embeddings that leverage context while simultaneously imposing a shape on the feature space distribution via backpropagation using an adversarial component. We focus on the symbolic domain and target short polyphonic musical units consisting of 40 note sequences. The goal is to project these units into a continuous low dimensional space that has semantic relevance. We evaluate relevance based on the learned features' abilities to complete various musical tasks and show improvement over baseline models including variational autoencoders, adversarial autoencoders, and deep structured semantic models. We use a dataset consisting of classical piano and demonstrate the robustness of our methods across multiple input representations. © 2020 International Society for Music Information Retrieval. All rights reserved.","","Backpropagation; Embeddings; Information retrieval; Semantics; Baseline models; Feature space; Learning semantics; Low-dimensional spaces; Multiple input representations; Semantic Model; Semantic relevance; Semantic similarity; Learning systems","","","20th International Society for Music Information Retrieval Conference, ISMIR 2019","4 November 2019 through 8 November 2019","Delft","160244"
"Maezawa A.; Yamamoto K.; Fujishima T.","Maezawa, Akira (35753591100); Yamamoto, Kazuhiko (55652696000); Fujishima, Takuya (55414444100)","35753591100; 55652696000; 55414444100","Rendering music performance with interpretation variations using conditional variational RNN","2019","Proceedings of the 20th International Society for Music Information Retrieval Conference, ISMIR 2019","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087095620&partnerID=40&md5=69363d5f1ea6ab9d528f2391d26129a6","Yamaha Corporation, Japan","Maezawa A., Yamaha Corporation, Japan; Yamamoto K., Yamaha Corporation, Japan; Fujishima T., Yamaha Corporation, Japan","Capturing and generating a wide variety of musical expression is important in music performance rendering, but current methods fail to model such a variation. This paper presents a music performance rendering method that explicitly models the variability in interpretations for a given piece of music. Conditional variational recurrent neural network is used to jointly train, conditioned on the music score, an encoder from a music performance to a latent representation of interpretation and a decoder from the latent interpretation back to the music performance. Evaluation demonstrates the method is capable of predicting and generating an expressive performance, and that the decoder learns a latent space of musical interpretation that is consistent with human perception of interpretation. © 2020 International Society for Music Information Retrieval. All rights reserved.","","Decoding; Information retrieval; Expressive performance; Human perception; Music performance; Music scores; Musical expression; Rendering methods; Recurrent neural networks","","","20th International Society for Music Information Retrieval Conference, ISMIR 2019","4 November 2019 through 8 November 2019","Delft","160244"
"Balke S.; Dorfer M.; Carvalho L.; Arzt A.; Widmer G.","Balke, Stefan (56940401000); Dorfer, Matthias (55516844500); Carvalho, Luis (57217331814); Arzt, Andreas (36681791200); Widmer, Gerhard (7004342843)","56940401000; 55516844500; 57217331814; 36681791200; 7004342843","Learning Soft-attention models for Tempo-invariant audio-sheet music retrieval","2019","Proceedings of the 20th International Society for Music Information Retrieval Conference, ISMIR 2019","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087097246&partnerID=40&md5=58a80f35caee243e68bc6025429e0aaa","Institute of Computational Perception, Johannes Kepler University Linz, Austria; Austrian Research Institute for Artificial Intelligence (OFAI), Austria","Balke S., Institute of Computational Perception, Johannes Kepler University Linz, Austria; Dorfer M., Institute of Computational Perception, Johannes Kepler University Linz, Austria; Carvalho L., Institute of Computational Perception, Johannes Kepler University Linz, Austria; Arzt A., Institute of Computational Perception, Johannes Kepler University Linz, Austria; Widmer G., Institute of Computational Perception, Johannes Kepler University Linz, Austria, Austrian Research Institute for Artificial Intelligence (OFAI), Austria","Connecting large libraries of digitized audio recordings to their corresponding sheet music images has long been a motivation for researchers to develop new cross-modal retrieval systems. In recent years, retrieval systems based on embedding space learning with deep neural networks got a step closer to fulfilling this vision. However, global and local tempo deviations in the music recordings still require careful tuning of the amount of temporal context given to the system. In this paper, we address this problem by introducing an additional soft-attention mechanism on the audio input. Quantitative and qualitative results on synthesized piano data indicate that this attention increases the robustness of the retrieval system by focusing on different parts of the input representation based on the tempo of the audio. Encouraged by these results, we argue for the potential of attention models as a very general tool for many MIR tasks. © 2020 International Society for Music Information Retrieval. All rights reserved.","","Audio acoustics; Audio recordings; Audio systems; Deep learning; Deep neural networks; Information retrieval; Learning systems; Attention mechanisms; Attention model; Audio input; Cross-modal; General tools; Music recording; Music retrieval; Retrieval systems; Search engines","S. Balke; Institute of Computational Perception, Johannes Kepler University Linz, Austria; email: stefan.balke@jku.at","","20th International Society for Music Information Retrieval Conference, ISMIR 2019","4 November 2019 through 8 November 2019","Delft","160244"
"Lerch A.; Arthur C.; Pati A.; Gururani S.","Lerch, Alexander (22034963000); Arthur, Claire (57191728327); Pati, Ashis (57217331630); Gururani, Siddharth (57195432595)","22034963000; 57191728327; 57217331630; 57195432595","Music performance analysis: A survey","2019","Proceedings of the 20th International Society for Music Information Retrieval Conference, ISMIR 2019","15","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087096431&partnerID=40&md5=fec7b5d1da0c7fa75c2dc3d986021cf9","Center for Music Technology, Georgia Institute of Technology, Atlanta, United States","Lerch A., Center for Music Technology, Georgia Institute of Technology, Atlanta, United States; Arthur C., Center for Music Technology, Georgia Institute of Technology, Atlanta, United States; Pati A., Center for Music Technology, Georgia Institute of Technology, Atlanta, United States; Gururani S., Center for Music Technology, Georgia Institute of Technology, Atlanta, United States","Music Information Retrieval (MIR) tends to focus on the analysis of audio signals. Often, a single music recording is used as representative of a ""song"" even though different performances of the same song may reveal different properties. A performance is distinct in many ways from a (arguably more abstract) representation of a ""song,"" ""piece,"" or musical score. The characteristics of the (recorded) performance-as opposed to the score or musical idea- can have a major impact on how a listener perceives music. The analysis of music performance, however, has been traditionally only a peripheral topic for the MIR research community. This paper surveys the field of Music Performance Analysis (MPA) from various perspectives, discusses its significance to the field of MIR, and points out opportunities for future research in this field. © 2020 International Society for Music Information Retrieval. All rights reserved.","","Audio acoustics; Information retrieval; Signal analysis; Surveys; Audio signal; Music information retrieval; Music performance; Music recording; Musical score; Paper surveys; Research communities; Audio recordings","","","20th International Society for Music Information Retrieval Conference, ISMIR 2019","4 November 2019 through 8 November 2019","Delft","160244"
"De Valk R.; Ahmed R.; Crawford T.","De Valk, Reinier (55979450000); Ahmed, Ryaan (57217330713); Crawford, Tim (15054056900)","55979450000; 57217330713; 15054056900","Josquintab: A dataset for content-based computational analysis of music in lute tablature","2019","Proceedings of the 20th International Society for Music Information Retrieval Conference, ISMIR 2019","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087095629&partnerID=40&md5=29f2df0d8716713acc930bb154185302","Department of Computing, Goldsmiths, University of London, United Kingdom; Digital Humanities, MIT, United States","De Valk R., Department of Computing, Goldsmiths, University of London, United Kingdom; Ahmed R., Digital Humanities, MIT, United States; Crawford T., Department of Computing, Goldsmiths, University of London, United Kingdom","An enormous corpus of music for the lute, spanning some two and half centuries, survives today. Unlike other musical corpora from the same period, this corpus has undergone only limited musicological study. The main reason for this is that it is written down exclusively in lute tablature, a prescriptive form of notation that is difficult to understand for non-specialists as it reveals little structural information. In this paper we present JOSQUINTAB, a dataset of automatically created enriched diplomatic transcriptions in MIDI and MEI format of 64 sixteenthcentury lute intabulations, instrumental arrangements of vocal compositions. Such a dataset enables large-scale content-based computational analysis of music in lute tablature hitherto impossible. We describe the dataset, the mapping algorithm used to create it, as well as a method to quantitatively evaluate the degree of arrangement (goodness of fit) of an intabulation. Furthermore, we present two use cases, demonstrating the usefulness of the dataset for both music information retrieval and musicological research. We make the dataset, the source code, and an implementation of the mapping algorithm, runnable as a command line tool, publicly available. © 2020 International Society for Music Information Retrieval. All rights reserved.","","Computational methods; Conformal mapping; Information retrieval; Command line; Computational analysis; Content-based; Goodness of fit; Mapping algorithms; Music information retrieval; Source codes; Structural information; Large dataset","","","20th International Society for Music Information Retrieval Conference, ISMIR 2019","4 November 2019 through 8 November 2019","Delft","160244"
