,Authors,Title,Year,Link,Authors with Affiliations,Abstract
0,Amar Chaudhary,An Extensible Representation for Playlists.,2002,https://doi.org/10.5281/zenodo.1415696,,[TODO] Add abstract here.
1,Jean-Julien Aucouturier;François Pachet,Music Similarity Measures: What's the use?,2002,https://doi.org/10.5281/zenodo.1418257,,[TODO] Add abstract here.
2,David Bainbridge 0001;John R. McPherson,Forming a Corpus of Voice Queries for Music Information Retrieval.,2002,https://doi.org/10.5281/zenodo.1417301,,[TODO] Add abstract here.
3,Stephan Baumann 0001;Andreas Klüter,Super-convenience for Non-musicans: Querying MP3 and the Semantic Web.,2002,https://doi.org/10.5281/zenodo.1417231,,[TODO] Add abstract here.
4,Ann Blandford;Hanna Stelmaszewska,Usability of Musical Digital Libraries: a Multimodal Analysis.,2002,https://doi.org/10.5281/zenodo.1417171,,[TODO] Add abstract here.
5,Pedro Cano;Martin Kaltenbrunner;Fabien Gouyon;Eloi Batlle,On the use of FastMap for Audio Retrieval and Browsing.,2002,https://doi.org/10.5281/zenodo.1415250,,[TODO] Add abstract here.
6,Leonardo Chiariglione,Technology and Art - Putting Things in Context.,2002,https://doi.org/10.5281/zenodo.1416780,,[TODO] Add abstract here.
7,L. P. Clarisse;Jean-Pierre Martens;Micheline Lesaffre;Bernard De Baets;Hans De Meyer;Marc Leman,An Auditory Model Based Transcriber of Singing Sequences.,2002,https://doi.org/10.5281/zenodo.1416074,,[TODO] Add abstract here.
8,Matthew L. Cooper;Jonathan Foote,Automatic Music Summarization via Similarity Analysis.,2002,https://doi.org/10.5281/zenodo.1417026,,[TODO] Add abstract here.
9,Roger B. Dannenberg;Ning Hu,Pattern Discovery Techniques for Music Audio.,2002,https://doi.org/10.5281/zenodo.1417177,,[TODO] Add abstract here.
10,Dave Datta,Managing Metadata.,2002,https://doi.org/10.5281/zenodo.1415230,,[TODO] Add abstract here.
11,Shyamala Doraisamy;Stefan M. Rüger,A Comparative and Fault-tolerance Study of the Use of N-grams with Polyphonic Music.,2002,https://doi.org/10.5281/zenodo.1416022,,[TODO] Add abstract here.
12,J. Stephen Downie;Sally Jo Cunningham,Toward a Theory of Music Information Retrieval Queries: System Design Implications.,2002,https://doi.org/10.5281/zenodo.1417565,,[TODO] Add abstract here.
13,Daniel P. W. Ellis;Brian Whitman;Adam Berenzweig;Steve Lawrence,The Quest for Ground Truth in Musical Artist Similarity.,2002,https://doi.org/10.5281/zenodo.1415602,,[TODO] Add abstract here.
14,Yazhong Feng;Yueting Zhuang;Yunhe Pan,Popular Music Retrieval by Independent Component Analysis.,2002,https://doi.org/10.5281/zenodo.1416098,,[TODO] Add abstract here.
15,Jonathan Foote;Matthew L. Cooper;Unjung Nam,Audio Retrieval by Rhythmic Similarity.,2002,https://doi.org/10.5281/zenodo.1417603,,[TODO] Add abstract here.
16,Ichiro Fujinaga;Jenn Riley,Digital Image Capture of Musical Scores.,2002,https://doi.org/10.5281/zenodo.1416554,,[TODO] Add abstract here.
17,Joe Futrelle;J. Stephen Downie,Interdisciplinary Communities and Research Issues in Music Information Retrieval.,2002,https://doi.org/10.5281/zenodo.1416406,,[TODO] Add abstract here.
18,Gordon Geekie,Carnatic Ragas as Music Information Retrieval Entities.,2002,https://doi.org/10.5281/zenodo.1415994,,[TODO] Add abstract here.
19,Masataka Goto;Hiroki Hashiguchi;Takuichi Nishimura;Ryuichi Oka,"RWC Music Database: Popular, Classical and Jazz Music Databases.",2002,https://doi.org/10.5281/zenodo.1416474,,[TODO] Add abstract here.
20,Jaap Haitsma;Ton Kalker,A Highly Robust Audio Fingerprinting System.,2002,https://doi.org/10.5281/zenodo.1417973,,[TODO] Add abstract here.
21,Toni Heittola;Anssi Klapuri,Locating Segments with Drums in Music Signals.,2002,https://doi.org/10.5281/zenodo.1418137,,[TODO] Add abstract here.
22,Harriette Hemmasi,Why not MARC?,2002,https://doi.org/10.5281/zenodo.1417491,,[TODO] Add abstract here.
23,Keiji Hirata;Shu Matsuda,Interactive Music Summarization based on GTTM.,2002,https://doi.org/10.5281/zenodo.1417481,,[TODO] Add abstract here.
24,Hui Jin;H. V. Jagadish,Indexing Hidden Markov Models for Music Retrieval.,2002,https://doi.org/10.5281/zenodo.1418259,,[TODO] Add abstract here.
