Unnamed: 0,Authors,Title,Year,Link,Authors with Affiliations,Abstract
0,Tom Collins;Jeremy Thurlow;Robin C. Laney;Alistair Willis;Paul H. Garthwaite,A Comparative Evaluation of Algorithms for Discovering Translational Patterns in Baroque Keyboard Works.,2010,https://doi.org/10.5281/zenodo.1416070,"Tom Collins, The Open University, UK, education;Jeremy Thurlow, University of Cambridge, UK, education;Robin Laney, The Open University, UK, education;Alistair Willis, The Open University, UK, education;Paul H. Garthwaite, The Open University, UK, education","We consider the problem of intra-opus pattern discovery, that is, the task of discovering patterns of a speciﬁed type within a piece of music. A music analyst undertook this task for works by Domenico Scarlattti and Johann Sebastian Bach, forming a benchmark of ‘target’ patterns. The performance of two existing algorithms and one of our own creation, called SIACT, is evaluated by comparison with this benchmark. SIACT out-performs the existing algo- rithms with regard to recall and, more often than not, pre- cision. It is demonstrated that in all but the most care- fully selected excerpts of music, the two existing algo- rithms can be affected by what is termed the ‘problem of isolated membership’. Central to the relative success of SIACT is our intention that it should address this particu- lar problem. The paper contrasts string-based and geomet- ric approaches to pattern discovery, with an introduction to the latter. Suggestions for future work are given."
1,Verena Konz;Meinard Müller;Sebastian Ewert,A Multi-Perspective Evaluation Framework for Chord Recognition.,2010,https://doi.org/10.5281/zenodo.1415686,"Verena Konz, Saarland University, DEU, education, MPI Informatik, DEU, facility;Meinard Müller, Saarland University, DEU, education, MPI Informatik, DEU, facility;Sebastian Ewert, University of Bonn, DEU, education","The automated extraction of chord labels from audio recordings constitutes a major task in music information retrieval. To evaluate computer-based chord labeling procedures, one requires ground truth annotations for the underlying audio material. However, the manual generation of such annotations on the basis of audio recordings is tedious and time-consuming. On the other hand, trained musicians can easily derive chord labels from symbolic score data. In this paper, we bridge this gap by describing a procedure that allows for transferring annotations and chord labels from the score domain to the audio domain and vice versa. Using music synchronization techniques, the general idea is to locally warp the annotations of all given data streams onto a common time axis, which then allows for a cross-domain evaluation of the various types of chord labels. As a further contribution of this paper, we extend this principle by introducing a multi-perspective evaluation framework for simultaneously comparing chord recognition results over multiple performances of the same piece of music. The revealed inconsistencies in the results do not only indicate limitations of the employed chord labeling strategies but also deepen the understanding of the underlying music material."
2,Riccardo Miotto;Nicola Orio,A Probabilistic Approach to Merge Context and Content Information for Music Retrieval.,2010,https://doi.org/10.5281/zenodo.1415256,"Riccardo Miotto, University of Padova, ITA, education;Nicola Orio, University of Padova, ITA, education","An interesting problem in music information retrieval is how to combine the information from different sources in order to improve retrieval effectiveness. This paper introduces an approach to represent a collection of tagged songs through an hidden Markov model with the purpose to develop a system that merges in the same framework both acoustic similarity and semantic descriptions. The former provides content-based information on song similarity, the latter provides context-aware information about individual songs. Experimental results show how the proposed model leads to better performances than approaches that rank songs using both a single information source and a their linear combination."
3,Graham Grindlay;Daniel P. W. Ellis,A Probabilistic Subspace Model for Multi-instrument Polyphonic Transcription.,2010,https://doi.org/10.5281/zenodo.1416842,"Graham Grindlay, Columbia University, USA, education;Daniel P.W. Ellis, Columbia University, USA, education","In this paper we present a general probabilistic model suitable for transcribing single-channel audio recordings containing multiple polyphonic sources. Our system requires no prior knowledge of the instruments in the mixture, although it can benefit from this information if available. In contrast to many existing polyphonic transcription systems, our approach explicitly models the individual instruments and is thereby able to assign detected notes to their respective sources. We use a set of training instruments to learn a model space which is then used during transcription to constrain the properties of models fit to the target mixture. In addition, we encourage model sparsity using a simple approach related to tempering. We evaluate our method on both recorded and synthesized two-instrument mixtures, obtaining average frame-level F-measures of up to 0.60 for synthesized audio and 0.53 for recorded audio. If knowledge of the instrument types in the mixture is available, we can increase these measures to 0.68 and 0.58, respectively, by initializing the model with parameters from similar instruments."
4,Maxime Le Coz;Hélène Lachambre;Lionel Koenig;Régine André-Obrecht,A Segmentation-based Tempo Induction Method.,2010,https://doi.org/10.5281/zenodo.1416766,"Maxime Le Coz, IRIT, Universite Paul Sabatier, FRA, education;Helene Lachambre, IRIT, Universite Paul Sabatier, FRA, education;Lionel Koenig, IRIT, Universite Paul Sabatier, FRA, education;Regine Andre-Obrecht, IRIT, Universite Paul Sabatier, FRA, education","The automatized beat detection and localization have been the subject of multiple research in the ﬁeld of music infor- mation retrieval. Most of the methods are based on onset detection. We propose an alternative approach: Our method is based on the “Forward-Backward seg- mentation”: the segments may be interpreted as attacks, decays, sustains and releases of notes. We process the seg- ment boundaries as a weighted Dirac signal. Three meth- ods devived from its spectral analysis are proposed to ﬁnd a periodicity which corresponds to the tempo. The experiments are carried out on a corpus of 100 songs of the RWC database. The performances of our system on this base demonstrate a potential in the use of a “ Forward- Backward Segmentation” for temporal information retrieval in musical signals."
5,Igor Vatolkin;Wolfgang M. Theimer;Martin Botteck,AMUSE (Advanced MUSic Explorer) - A Multitool Framework for Music Data Analysis.,2010,https://doi.org/10.5281/zenodo.1414918,"Igor Vatolkin, TU Dortmund, DEU, education;Wolfgang Theimer, Research in Motion, Bochum, DEU, company","A large variety of research tools is available now for music information retrieval tasks. In this paper we present a further framework which aims to facilitate the interaction between these applications. Since the available tools are very different in target domain, range of available methods, learning efforts, installation and runtime characteristics etc., it is not easy to find software which is optimal for certain research goals. Another problematic issue is that many incompatible data formats exist, so it is not always possible to use output from one tool just as input for another one. At first we describe some of the available projects and outline our motivation starting the development of AMUSE framework for audio data analysis. Requirements and application purposes are given. The structure of our framework is introduced in detail and the information for efficient application is provided. Finally we discuss several ideas for further work."
6,Cyril Joder;Slim Essid;Gaël Richard,An Improved Hierarchical Approach for Music-to-symbolic Score Alignment.,2010,https://doi.org/10.5281/zenodo.1417883,"Cyril Joder, Institut TELECOM, TELECOM ParisTech, CNRS LTCI, education;Slim Essid, Institut TELECOM, TELECOM ParisTech, CNRS LTCI, education;Gaël Richard, Institut TELECOM, TELECOM ParisTech, CNRS LTCI, education","We present an efﬁcient approach for an off-line alignment of a symbolic score to a recording of the same piece, using a statistical model. A hidden state model is built from the score, which allows for the use of two different kinds of features, namely chroma vectors and an onset detection function (spectral ﬂux) with speciﬁc production models, in a simple manner. We propose a hierarchical pruning method for an approximate decoding of this statistical model. This strategy reduces the search space in an adaptive way, yielding a better overall efﬁciency than the tested state-of-the art method. Experiments run on a large database of 94 pop songs show that the resulting system obtains higher recognition rates than the dynamic programming algorithm (DTW), with a signiﬁcantly lower complexity, even though the rhythmic information is not used for the alignment."
7,Chung-Che Wang;Jyh-Shing Roger Jang;Wennen Wang,An Improved Query by Singing/Humming System Using Melody and Lyrics Information.,2010,https://doi.org/10.5281/zenodo.1414802,"Chung-Che Wang, Tsing Hua Univ., TWN, education;Jyh-Shing Roger Jang, Tsing Hua Univ., TWN, education;Wennen Wang, Institute for Information Industry, TWN, facility","""This paper proposes an improved query by singing/humming (QBSH) system using both melody and lyrics information for achieving better performance. Singing/humming discrimination (SHD) is first performed to distinguish singing from humming queries. For a humming query, we apply a pitch-only melody recognition method that has been used for QBSH task at MIREX with rank-1 performance. For a singing query, we combine the scores from melody recognition and lyrics recognition to take advantage of the extra lyrics information. Lyrics recognition is based on a modified tree lexicon that is commonly used in speech recognition. The performance of the overall QBSH system achieves 39.01% and 23.53% error reduction rates, respectively, for top-20 recognition under two experimental settings, indicating the feasibility of the proposed method."""
8,Andrew Hankinson;Laurent Pugin;Ichiro Fujinaga,An Interchange Format for Optical Music Recognition Applications.,2010,https://doi.org/10.5281/zenodo.1417633,"Andrew Hankinson, Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT), Schulich School of Music, McGill University, CAN, education;Laurent Pugin, RISM Switzerland & Geneva University, CHE, education;Ichiro Fujinaga, Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT), Schulich School of Music, McGill University, CAN, education","Page appearance and layout for music notation is a critical component of the overall musical information contained in a document. To capture and transfer this information, we outline an interchange format for OMR applications, the OMR Interchange Package (OIP) format, which is designed to allow layout information and page images to be preserved and transferred along with semantic musical content. We identify a number of uses for this format that can enhance digital representations of music, and introduce a novel idea for distributed optical music recognition system based on this format."
9,Dingding Wang 0001;Tao Li 0001;Mitsunori Ogihara,Are Tags Better Than Audio? The Effect of Joint Use of Tags and Audio Content Features for Artistic Style Clustering.,2010,https://doi.org/10.5281/zenodo.1417543,"Dingding Wang, Florida International University, USA, education;Tao Li, Florida International University, USA, education;Mitsunori Ogihara, University of Miami, USA, education","Social tags are receiving growing interests in informa- tion retrieval. In music information retrieval previous re- search has demonstrated that tags can assist in music clas- siﬁcation and clustering. This paper studies the problem of combining tags and audio contents for artistic style clus- tering. After studying the effectiveness of using tags and audio contents separately for clustering, this paper pro- poses a novel language model that makes use of both data sources. Experiments with various methods for combining feature sets demonstrate that tag features are more useful than audio content features for style clustering and that the proposed model can marginally improve clustering perfor- mance by combing tags and audio contents."
