Unnamed: 0,Authors,Title,Year,Link,Authors with Affiliations,Abstract,first_country,first_aff_cat,first_aff_cat_UN,title_tsne_2d,abstract_tsne_2d,title_tsne_3d,abstract_tsne_3d,title_umap_2d,abstract_umap_2d,title_umap_3d,abstract_umap_3d
0,Abhishek Singhi;Daniel G. Brown 0001,"On Cultural, Textual and Experiential Aspects of Music Mood.",2014,https://doi.org/10.5281/zenodo.1417391,Abhishek Singhi+University of Waterloo>CAN>education;Daniel G. Brown+University of Waterloo>CAN>education,"We study the impact of the presence of lyrics on music mood perception for both Canadian and Chinese listeners by conducting a user study of Canadians not of Chinese origin, Chinese-Canadians, and Chinese people who have lived in Canada for fewer than three years. While our original hypotheses were largely connected to cultural components of mood perception, we also analyzed how stable mood assignments were when listeners could read the lyrics of recent popular English songs they were hearing versus when they only heard the songs. We also showed the lyrics of some songs to participants without playing the recorded music. We conclude that people assign different moods to the same song in these three scenarios. People tend to assign a song to the mood cluster that includes “melancholy” more often when they read the lyrics without listening to it, and having access to the lyrics does not help reduce the difference in music mood perception between Canadian and Chinese listeners significantly. Our results cause us to question the idea that songs have “inherent mood”. Rather, we suggest that the mood depends on both cultural and experiential context.",CAN,education,Developed economies,"[53.423794, 9.334391]","[22.15455, 44.90381]","[9.204252, 25.371681, -13.159601]","[31.079086, 4.8100176, 18.627697]","[14.551972, 11.541909]","[4.2909646, 5.3676243]","[13.508952, 16.572449, 3.8798807]","[3.569485, 3.772377, 1.0774649]"
1,Li Su;Li-Fan Yu;Yi-Hsuan Yang,"Sparse Cepstral, Phase Codes for Guitar Playing Technique Classification.",2014,https://doi.org/10.5281/zenodo.1417215,Li Su+Academia Sinica>TWN>education;Li-Fan Yu+Academia Sinica>TWN>education;Yi-Hsuan Yang+Academia Sinica>TWN>education,"Automatic recognition of guitar playing techniques is challenging as it is concerned with subtle nuances of guitar timbres. In this paper, we investigate this research problem by a comparative study on the performance of features extracted from the magnitude spectrum, cepstrum and phase derivatives such as group-delay function (GDF) and instantaneous frequency deviation (IFD) for classifying the playing techniques of electric guitar recordings. We consider up to 7 distinct playing techniques of electric guitar and create a new individual-note dataset comprising of 7 types of guitar tones for each playing technique. The dataset contains 6,580 clips and 11,928 notes. Our evaluation shows that sparse coding is an effective means of mining useful patterns from the primitive time-frequency representations and that combining the sparse representations of logarithm cepstrum, GDF and IFD leads to the highest average F-score of 71.7%. Moreover, from analyzing the confusion matrices we find that cepstral and phase features are particularly important in discriminating highly similar techniques such as pull-off, hammer-on and bending. We also report a preliminary study that demonstrates the potential of the proposed methods in automatic transcription of real-world electric guitar solos.",TWN,education,Developing economies,"[-35.543446, -36.86114]","[-20.38326, 2.985434]","[-29.133354, -2.8083057, 11.402137]","[-18.295946, 2.101953, -3.3441098]","[6.780552, 8.597961]","[9.334556, 4.2113585]","[9.23955, 12.289181, 1.8490081]","[7.9379563, 4.476486, 0.36777982]"
2,Münevver Köküer;Peter Jancovic;Islah Ali-MacLachlan;Cham Athwal,Automated Detection of Single- and Multi-Note Ornaments in Irish Traditional Flute Playing.,2014,https://doi.org/10.5281/zenodo.1415266,Münevver Köküer+Birmingham City University>GBR>education|University of Birmingham>GBR>education;Peter Jančovič+Birmingham City University>GBR>education|University of Birmingham>GBR>education;Islah Ali-MacLachlan+Birmingham City University>GBR>education|University of Birmingham>GBR>education;Cham Athwal+Birmingham City University>GBR>education|University of Birmingham>GBR>education,"This paper presents an automatic system for the detection of single- and multi-note ornaments in Irish traditional flute playing. This is a challenging problem because ornaments are notes of a very short duration. The presented ornament detection system is based on first detecting onsets and then exploiting the knowledge of musical ornamentation. We employed onset detection methods based on signal envelope and fundamental frequency and customised their parameters to the detection of soft onsets of possibly short duration. Single-note ornaments are detected based on the duration and pitch of segments, determined by adjacent onsets. Multi-note ornaments are detected based on analysing the sequence of segments. Experimental evaluations are performed on monophonic flute recordings from Grey Larsen’s CD, which was manually annotated by an experienced flute player. The onset and single- and multi-note ornament detection performance is presented in terms of the precision, recall and F-measure.",GBR,education,Developed economies,"[-25.29935, -16.698326]","[-12.280578, -28.091785]","[-16.099663, -9.15232, -2.5760114]","[7.472903, -10.932249, -10.450779]","[8.592401, 7.51735]","[10.572977, 2.5928094]","[10.346087, 13.20923, 0.010662999]","[9.511134, 3.896057, 0.60513353]"
3,Bob L. Sturm;Nick Collins,The Kiki-Bouba Challenge: Algorithmic Composition for Content-based MIR Research and Development.,2014,https://doi.org/10.5281/zenodo.1416364,Bob L. Sturm+Aalborg University>DNK>education;Nick Collins+Durham University>GBR>education,"We propose the “Kiki-Bouba Challenge” (KBC) for the research and development of content-based music information retrieval (MIR) systems. This challenge is unencumbered by several problems typically encountered in MIR research: insufficient data, restrictive copyrights, imperfect ground truth, a lack of specific criteria for classes (e.g., genre), a lack of explicit problem definition, and irreproducibility. KBC provides a limitless amount of free data, a perfect ground truth, and well-specifiable and meaningful characteristics defining each class. These ideal conditions are made possible by open source algorithmic composition — a hitherto under-exploited resource for MIR.",DNK,education,Developed economies,"[6.292622, 52.91158]","[29.068872, 12.032931]","[35.689396, 4.281251, 5.1335664]","[-2.8847516, 6.838861, 16.753286]","[12.7149315, 5.583541]","[5.412889, 1.8387237]","[14.507492, 13.455761, 0.59345573]","[5.606055, 2.370339, 0.24744686]"
4,Aäron van den Oord;Sander Dieleman;Benjamin Schrauwen,Transfer Learning by Supervised Pre-training for Audio-based Music Classification.,2014,https://doi.org/10.5281/zenodo.1415890,A¨aron van den Oord+Ghent University>BEL>education;Sander Dieleman+Ghent University>BEL>education;Benjamin Schrauwen+Ghent University>BEL>education,"Very few large-scale music research datasets are publicly available. There is an increasing need for such datasets, because the shift from physical to digital distribution in the music industry has given the listener access to a large body of music, which needs to be cataloged efficiently and be easily browsable. Additionally, deep learning and feature learning techniques are becoming increasingly popular for music information retrieval applications, and they typically require large amounts of training data to work well. In this paper, we propose to exploit an available large-scale music dataset, the Million Song Dataset (MSD), for classification tasks on other datasets, by reusing models trained on the MSD for feature extraction. This transfer learning approach, which we refer to as supervised pre-training, was previously shown to be very effective for computer vision problems. We show that features learned from MSD audio fragments in a supervised manner, using tag labels and user listening data, consistently outperform features learned in an unsupervised manner in this setting, provided that the learned feature extractor is of limited complexity. We evaluate our approach on the GTZAN, 1517-Artists, Unique and Magnatagatune datasets.",BEL,education,Developed economies,"[-10.507733, -9.155411]","[-32.806053, 13.507464]","[-6.2515626, 18.35284, 14.6625595]","[4.758102, -2.5571613, -22.69154]","[11.276819, 10.620869]","[7.2932196, 5.2476335]","[11.2803545, 14.072373, 2.5759306]","[6.849769, 5.0016685, 1.467031]"
5,Harald Grohganz;Michael Clausen;Meinard Müller,Estimating Musical Time Information from Performed MIDI Files.,2014,https://doi.org/10.5281/zenodo.1417925,Harald Grohganz+Bonn University>DEU>education;Michael Clausen+Bonn University>DEU>education;Meinard Müller+International Audio Laboratories Erlangen>DEU>facility,"Even though originally developed for exchanging control commands between electronic instruments, MIDI has been used as quasi standard for encoding and storing score-related parameters. MIDI allows for representing musical time information as specified by sheet music as well as physical time information that reflects performance aspects. However, in many of the available MIDI files the musical beat and tempo information is set to a preset value with no relation to the actual music content. In this paper, we introduce a procedure to determine the musical beat grid from a given performed MIDI file. As one main contribution, we show how the global estimate of the time signature can be used to correct local errors in the pulse grid estimation. Different to MIDI quantization, where one tries to map MIDI note onsets onto a given musical pulse grid, our goal is to actually estimate such a grid. In this sense, our procedure can be used in combination with existing MIDI quantization procedures to convert performed MIDI files into semantically enriched score-like MIDI files.",DEU,education,Developed economies,"[-47.98958, -1.784768]","[-14.376946, -23.468163]","[3.0620987, -26.701857, -4.281679]","[-4.359341, -17.19072, -2.1436777]","[9.866188, 6.118351]","[10.545498, 1.4265394]","[12.0694275, 12.647764, 0.6729355]","[9.45544, 2.948089, 1.0931118]"
6,Isabel Barbancho;George Tzanetakis;Lorenzo J. Tardón;Peter F. Driessen;Ana M. Barbancho,Estimation of the Direction of Strokes and Arpeggios.,2014,https://doi.org/10.5281/zenodo.1418053,Isabel Barbancho+Universidad de Málaga>ESP>education|University of Victoria>CAN>education;George Tzanetakis+University of Victoria>CAN>education;Lorenzo J. Tardón+Universidad de Málaga>ESP>education;Peter F. Driessen+University of Victoria>CAN>education;Ana M. Barbancho+Universidad de Málaga>ESP>education,"Whenever a chord is played in a musical instrument, the notes are not commonly played at the same time. Actually, in some instruments, it is impossible to trigger multiple notes simultaneously. In others, the player can consciously select the order of the sequence of notes to play to create a chord. In either case, the notes in the chord can be played very fast, and they can be played from the lowest to the highest pitch note (upstroke) or from the highest to the lowest pitch note (downstroke). In this paper, we describe a system to automatically estimate the direction of strokes and arpeggios from audio recordings. The proposed system is based on the analysis of the spectrogram to identify meaningful changes. In addition to the estimation of the up or down stroke direction, the proposed method provides information about the number of notes that constitute the chord, as well as the chord playing speed. The system has been tested with four different instruments: guitar, piano, autoharp and organ.",ESP,education,Developed economies,"[-34.01528, -29.684782]","[-22.999199, -43.830112]","[-27.228857, -12.558526, 3.022142]","[-21.100481, 6.140513, -3.6284273]","[6.8819475, 8.038741]","[11.425555, 3.8407214]","[9.572696, 11.883503, 1.5493546]","[9.240104, 3.8758297, -1.411255]"
7,Sam van Herwaarden;Maarten Grachten;W. Bas de Haas,Predicting Expressive Dynamics in Piano Performances using Neural Networks.,2014,https://doi.org/10.5281/zenodo.1416678,Sam van Herwaarden+Austrian Research Institute for AI>AUT>facility;Maarten Grachten+Austrian Research Institute for AI>AUT>facility;W. Bas de Haas+Utrecht University>NLD>education,"This paper presents a model for predicting expressive accentuation in piano performances with neural networks. Using Restricted Boltzmann Machines (RBMs), features are learned from performance data, after which these features are used to predict performed loudness. During feature learning, data describing more than 6000 musical pieces is used; when training for prediction, two datasets are used, both recorded on a Bösendorfer piano (accurately measuring note on- and offset times and velocity values), but describing different compositions performed by different pianists. The resulting model is tested by predicting note velocity for unseen performances. Our approach differs from earlier work in a number of ways: (1) an additional input representation based on a local history of velocity values is used, (2) the RBMs are trained to result in a network with sparse activations, (3) network connectivity is increased by adding skip-connections, and (4) more data is used for training. These modifications result in a network performing better than the state-of-the-art on the same data and more descriptive features, which can be used for rendering performances, or for gaining insight into which aspects of a musical piece influence its performance.",AUT,facility,Developed economies,"[-28.407442, -3.3501425]","[-46.357136, 1.1916263]","[-20.26642, -0.5342968, 5.719548]","[-14.322086, -4.469488, -15.895925]","[9.577643, 7.9400225]","[8.918607, 6.284975]","[11.050771, 13.3124695, 1.0272926]","[8.26498, 4.488803, 2.336348]"
8,Siddharth Sigtia;Emmanouil Benetos;Srikanth Cherla;Tillman Weyde;Artur S. d'Avila Garcez;Simon Dixon,An RNN-based Music Language Model for Improving Automatic Music Transcription.,2014,https://doi.org/10.5281/zenodo.1416792,"Siddharth Sigtia+Centre for Digital Music, Queen Mary University of London>GBR>education;Emmanouil Benetos+City University London>GBR>education;Srikanth Cherla+City University London>GBR>education;Tillman Weyde+City University London>GBR>education;Artur S. d’Avila Garcez+City University London>GBR>education;Simon Dixon+Centre for Digital Music, Queen Mary University of London>GBR>education","In this paper, we investigate the use of Music Language Models (MLMs) for improving Automatic Music Transcription performance. The MLMs are trained on sequences of symbolic polyphonic music from the Nottingham dataset. We train Recurrent Neural Network (RNN)-based models, as they are capable of capturing complex temporal structure present in symbolic music data. Similar to the function of language models in automatic speech recognition, we use the MLMs to generate a prior probability for the occurrence of a sequence. The acoustic AMT model is based on probabilistic latent component analysis, and prior information from the MLM is incorporated into the transcription framework using Dirichlet priors. We test our hybrid models on a dataset of multiple-instrument polyphonic music and report a significant 3% improvement in terms of F-measure, when compared to using an acoustic-only model.",GBR,education,Developed economies,"[-21.447634, -10.371839]","[-39.682774, 7.6371565]","[-22.00088, -0.43820155, -5.046361]","[-15.919463, 5.5234685, -13.607115]","[8.923261, 8.40632]","[8.464809, 6.120549]","[10.238789, 13.306565, 1.2723852]","[7.812421, 4.1630692, 1.970677]"
9,Mathieu Giraud;Florence Levé;Florent Mercier;Marc Rigaudière;Donatien Thorez,Towards Modeling Texture in Symbolic Data.,2014,https://doi.org/10.5281/zenodo.1415030,"Mathieu Giraud+LIFL, CNRS>FRA>facility|University of Lille 1>FRA>education;Florence Léve+MIS, UPJV>FRA>education|LIFL, University of Lille 1>FRA>facility;Florent Mercier+University of Lille 1>FRA>education;Marc Rigaudière+University of Lorraine>FRA>education;Donatien Thorez+University of Lille 1>FRA>education","Studying texture is a part of many musicological analyses. The change of texture plays an important role in the cognition of musical structures. Texture is a feature commonly used to analyze musical audio data, but it is rarely taken into account in symbolic studies. We propose to formalize the texture in classical Western instrumental music as melody and accompaniment layers, and provide an algorithm able to detect homorhythmic layers in polyphonic data where voices are not separated. We present an evaluation of these methods for parallel motions against a ground truth analysis of ten instrumental pieces, including the first movements of the six quatuors op. 33 by Haydn.",FRA,facility,Developed economies,"[-10.303339, 15.492922]","[4.7998753, -8.624486]","[4.8829994, 10.958724, 16.601446]","[-15.549673, -7.2523227, 4.661143]","[10.966606, 8.068092]","[8.468503, 2.6675298]","[12.292844, 13.931259, 1.4856681]","[7.925527, 3.1278892, -0.44710562]"
