Authors;Title;Year;Link;Abstract;Authors with Affiliations;aff_names;Affiliation type;Affiliation country;Western_flag;First Author Affiliation UN Category;UN Categories;dim_1;dim_2
Mari Itoh;Subject Search for Music: Quantitative Analysis of Access Point Selection.;2000;https://doi.org/10.5281/zenodo.1414950;;Mari Itoh, Graduate School of Library and Information Science, Aichi Shukutoku University, JPN, education;Aichi Shukutoku University;education;JPN;NOT_FOUND;Developed economies;Developed economies;-35.51748;19.457321
Beth Logan;Mel Frequency Cepstral Coefficients for Music Modeling.;2000;https://doi.org/10.5281/zenodo.1416444;"We examine in some detail Mel Frequency Cepstral Coefficients (MFCCs) the dominant features used for speech recognition and investigate their applicability to modeling music. In particular, we examine two of the main assumptions of the process of forming MFCCs: the use of the Mel frequency scale to model the spectra; and the use of the Discrete Cosine Transform (DCT) to decorrelate the Mel-spectral vectors. We examine the first assumption in the context of speech/music discrimination. Our results show that the use of the Mel scale for modeling music is at least not harmful for this problem, although further experimentation is needed to verify that this is the optimal scale in the general case. We investigate the second assumption by examining the basis vectors of the theoretically optimal transform to decorrelate music and speech spectral vectors. Our results demonstrate that the use of the DCT to decorrelate vectors is appropriate for both speech and music spectra.";Beth Logan, Cambridge Research Laboratory, USA, facility, Compaq Computer Corporation, USA, company;Compaq Computer Corporation;company;USA;NOT_FOUND;Developed economies;Developed economies;27.057718;5.159131
Özgür Izmirli;Using a Spectral Flatness Based Feature for Audio Segmentation and Retrieval.;2000;https://doi.org/10.5281/zenodo.1416438;A method that utilizes a spectral flatness based tonality feature for segmentation and content-based retrieval of audio is outlined. The method uses the tonality measure which is derived from the discrete bark spectrum as a means of detecting transitions between tonal and noise-like parts of the audio input. The meaning of ‘tonal’ in this context is different from the music-theoretical meaning and implies that there are dominant sinusoidal components in the spectrum, but, does not indicate that they are consonant or harmonic in any sense. Segmentation is performed by determining the times of these transitions, hence providing reference points for search purposes. Search is carried out by pivoting the query information on these reference points. The cumulative distance between the tonality pattern in successive frames of the query and the candidate sound fragments is used as a measure of similarity.;Ozgur Izmirli, Center for Arts and Technology, Connecticut College, USA, education;Connecticut College;education;USA;NOT_FOUND;Developed economies;Developed economies;14.546061;20.11376
Jonathan Foote;ARTHUR: Retrieving Orchestral Music by Long-Term Structure.;2000;https://doi.org/10.5281/zenodo.1416644;We introduce an audio retrieval-by-example system for orchestral music. Unlike many other approaches, this system is based on analysis of the audio waveform and does not rely on symbolic or MIDI representations. ARTHUR retrieves audio on the basis of long-term structure, specifically the variation of soft and louder passages. The long-term structure is determined from envelope of audio energy versus time in one or more frequency bands. Similarity between energy profiles is calculated using dynamic programming. Given an example audio document, other documents in a collection can be ranked by similarity of their energy profiles. Experiments are presented for a modest corpus that demonstrate excellent results in retrieving different performances of the same orchestral work, given an example performance or short excerpt as a query.;Jonathan Foote, FX Palo Alto Laboratory, Inc., USA, company;FX Palo Alto Laboratory;company;USA;NOT_FOUND;Developed economies;Developed economies;-21.627096;7.50615
"Dave Cliff;Heppie Freeburn";Exploration of Point-Distribution Models for Similarity-based Classification and Indexing of Polyphonic Music.;2000;https://doi.org/10.5281/zenodo.1416572;"Similarity is an intuitive criterion for indexing and classification of digital audio files in music information retrieval systems. While significant work has been done on similarity-based approaches to monophonic music, methods for reliably dealing with databases of arbitrary polyphonic music remain elusive. In this paper we describe our ongoing research in exploring the use of high-order multivariate statistical techniques for similarity-based classification of polyphonic music in digital audio files. The statistical techniques we employ, known as point distribution models (PDMs), have recently proven to be of surprising value in computer vision research for rating visual similarity; here we are attempting to apply PDMs to musical similarity. This involves creating neural networks that approximate the statistical processing, to save on potentially explosive storage and processor requirements. This paper reports on work in progress: our results to date are inconclusive and somewhat negative. We describe our rationale for exploring PDMs in polyphonic music similarity-rating and discuss the problems we have encountered so far, with the intention of encouraging other members of the music information retrieval community to explore this and related approaches.";"Dave Cliff, Hewlett-Packard Labs, GBR, company;Heppie Freeburn, Hewlett-Packard Labs, GBR, company";Hewlett-Packard Labs, Hewlett-Packard Labs;company, company;USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies;-9.894434;8.817378
"Thomas von Schroeter;Shyamala Doraisamy;Stefan M. Rüger";From Raw Polyphonic Audio to Locating Recurring Themes.;2000;https://doi.org/10.5281/zenodo.1416124;We present research studies of two related strands in content-based music retrieval: the automatic transcription of raw audio from a single polyphonic instrument with discrete pitch (eg piano) and the location of recurring themes from a Humdrum score.;"Thomas von Schroeter, Imperial College of Science, Technology and Medicine, GBR, education;Shyamala Doraisamy, University Putra Malaysia, MYS, education;Stefan M Rüger, Imperial College of Science, Technology and Medicine, GBR, education";Imperial College of Science Technology and Medicine, University Putra Malaysia, Imperial College of Science Technology and Medicine;education, education, education;GBR, MYS, GBR;NOT_FOUND;Developed economies;Developed economies, Developing economies, Developed economies;-0.30614072;-5.2797375
Jon W. Dunn;Beyond VARIATIONS: Creating a Digital Music Library.;2000;https://doi.org/10.5281/zenodo.1415148;This presentation will focus primarily on work being done at Indiana University in the area of digital music libraries, with some discussion of related efforts. Indiana University’s VARIATIONS system serves as both an early example of a working digital library supporting music content and an early application of World Wide Web technologies to music. Since April 1996, the system has provided online access within the William and Gayle Cook Music Library to sound recordings from the library’s collections. Unlike many early university-based digital library projects whose primary goals were to provide broader access to unique and/or archival collections, VARIATIONS has built its digital collection from standard musical repertoire identified as central to the teaching mission of the Indiana University School of Music.;Jon W. Dunn, Indiana University, USA, education;Indiana University Bloomington;education;USA;NOT_FOUND;Developed economies;Developed economies;-40.34721;9.6450615
Alain Bonardi;IR for Contemporary Music: What the Musicologist Needs.;2000;https://doi.org/10.5281/zenodo.1415912;Active listening is the core of musical activity. Listening does not only concern receiving musical information. On the contrary, it is “active” and based on a set of interactions between listeners and musical documents—including automatic music information research and extraction—so as to discover intentions. This recognition process is based on the observation of regularities and rules, in order to build “forms” from all indications, information and redundancies. The listener interprets all the signs that are meaningful for him as intentions, attributed to the composer.;Alain Bonardi, IRCAM, FRA, facility;IRCAM;facility;FRA;NOT_FOUND;Developed economies;Developed economies;-46.608597;12.833749
"G. Sayeed Choudhury;M. Droetboom;Tim DiLauro;Ichiro Fujinaga;Brian Harrington; Karl MacMillan";Optical Music Recognition System within a Large-Scale Digitization Project.;2000;https://doi.org/10.5281/zenodo.1415730;An adaptive optical music recognition system is being developed as part of an experiment in creating a comprehensive framework of tools to manage the workflow of large-scale digitization projects. This framework will support the path from physical object and/or digitized material into a digital library repository, and offer effective tools for incorporating metadata and perusing the content of the resulting multimedia objects.;"G. Sayeed Choudhury, Johns Hopkins University, USA, education;Tim DiLauro, Johns Hopkins University, USA, education;Michael Droettboom, Johns Hopkins University, USA, education;Ichiro Fujinaga, Johns Hopkins University, USA, education;Brian Harrington, Johns Hopkins University, USA, education;Karl MacMillan, Johns Hopkins University, USA, education";Johns Hopkins University, Johns Hopkins University, Johns Hopkins University, Johns Hopkins University, Johns Hopkins University, Johns Hopkins University;education, education, education, education, education, education;USA, USA, USA, USA, USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies;-2.8244438;-58.753887
"Juan Pablo Bello;Giuliano Monti;Mark B. Sandler";Techniques for Automatic Music Transcription.;2000;https://doi.org/10.5281/zenodo.1414872;Two systems are reviewed than perform automatic music transcription. The first perform monophonic transcription using an autocorrelation pitch tracker. The algorithm takes advantage of some heuristic parameters related to the similarity between image and sound in the collector. The detection is correct between notes B1 to E6 and further timbre analysis will provide the necessary parameters to reproduce a similar copy of the original sound. The second system is able to analyse simple polyphonic tracks. It is composed of a blackboard system, receiving its input from a segmentation routine in the form of an averaged STFT matrix. The blackboard contents an hypotheses database, an scheduler and knowledge sources, one of which is a neural network chord recogniser with the ability to reconfigure the operation of the system, allowing it to output more than one note hypothesis at the time. Some examples are provided to illustrate the performance and the weaknesses of the current implementation. Next steps for further development are defined.;"Juan Pablo Bello, King’s College London, GBR, education;Giuliano Monti, King’s College London, GBR, education;Mark Sandler, King’s College London, GBR, education";King’s College London, King’s College London, King’s College London;education, education, education;GBR, GBR, GBR;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;16.964577;-26.042162
