,Authors,Titles,Year,Link,Authors with affiliations,Author Keywords
0,Shreyas M Nadkarni; Sujoy Roychowdhury; Preeti Rao; Martin Clayton ,Exploring the Correspondence of Melodic Contour With Gesture in Raga Alap Singing,2023,http://ismir2023program.ismir.net/poster_64.html,"Shreyas M Nadkarni, Indian Institute of Technology Bombay; Sujoy Roychowdhury, Indian Institute of Technology Bombay; Preeti Rao, Indian Institute of Technology  Bombay; Martin Clayton , Durham University",multimodality; computational ethnomusicology
1,Miguel Perez Fernandez; Holger Kirchhoff; Xavier Serra ,TriAD: Capturing Harmonics With 3D Convolutions,2023,http://ismir2023program.ismir.net/poster_11.html,"Miguel Perez Fernandez, Universitat Pompeu Fabra, Huawei; Holger Kirchhoff, Huawei; Xavier Serra , Universitat Pompeu Fabra ",pattern matching and detection; representations of music; representations of music; machine learning/artificial intelligence for music; music signal processing; music transcription and annotation
2,Fabio Morreale; Megha Sharma; I-Chieh Wei ,Data Collection in Music Generation Training Sets: A Critical Analysis,2023,http://ismir2023program.ismir.net/poster_15.html,"Fabio Morreale, University of Auckland; Megha Sharma, University of Tokyo; I-Chieh Wei , University of Auckland",ethical issues related to designing and implementing MIR tools and technologies; music generation; legal and societal aspects of MIR
3,Bob L. T.  Sturm; Arthur Flexer ,A Review of Validity and Its Relationship to Music Information Research,2023,http://ismir2023program.ismir.net/poster_18.html,"Bob L. T.  Sturm, KTH Royal Institute of Technology; Arthur Flexer , Johannes Kepler University Linz","Evaluation, datasets, and reproducibility; Philosophical and ethical discussions; evaluation methodology; philosophical and methodological foundations"
4,Gowriprasad R; Srikrishnan Sridharan; R Aravind; Hema A Murthy ,Segmentation and Analysis of Taniavartanam in Carnatic Music Concerts,2023,http://ismir2023program.ismir.net/poster_19.html,"Gowriprasad R, IIT Madras; Srikrishnan Sridharan, Carnatic Percussionist; R Aravind, Indian Institute of Technology Madras; Hema A Murthy , IIT Madras","structure, segmentation, and form; music retrieval systems"
5,Changhong Wang; Gaël Richard; Brian McFee ,Transfer Learning and Bias Correction With Pre-Trained Audio Embeddings,2023,http://ismir2023program.ismir.net/poster_280.html,"Changhong Wang, Telecom Paris, Institut polytechnique de Paris; Gaël Richard, Telecom Paris, Institut polytechnique de Paris; Brian McFee , New York University","automatic classification; representations of music; timbre, instrumentation, and singing voice; philosophical and methodological foundations; music signal processing; music retrieval systems"
6,Michèle Duguay; Kate Mancey; Johanna Devaney ,Collaborative Song Dataset (CoSoD): An Annotated Dataset of Multi-Artist Collaborations in Popular Music,2023,http://ismir2023program.ismir.net/poster_37.html,"Michèle Duguay, Harvard University; Kate Mancey, Harvard University; Johanna Devaney , Brooklyn College","novel datasets and use cases; timbre, instrumentation, and singing voice"
7,Michele Newman; Lidia J Morris; Jin Ha Lee ,Human-AI Music Creation: Understanding the Perceptions and Experiences of Music Creators for Ethical and Productive Collaboration,2023,http://ismir2023program.ismir.net/poster_58.html,"Michele Newman, University of Washington; Lidia J Morris, University of Washington; Jin Ha Lee , University of Washington","music generation; ethical issues related to designing and implementing MIR tools and technologies; music composition, performance, and production; human-computer interaction"
8,Nathan Fradet; Nicolas Gutowski; Fabien Chhel; Jean-Pierre Briot ,Impact of Time and Note Duration Tokenizations on Deep Learning Symbolic Music Modeling,2023,http://ismir2023program.ismir.net/poster_45.html,"Nathan Fradet, LIP6 - Sorbonne University; Nicolas Gutowski, University of Angers; Fabien Chhel, Groupe ESEO; Jean-Pierre Briot , CNRS","music generation; symbolic music processing; music composition, performance, and production; automatic classification; representations of music; music retrieval systems"
9,Max Johnson; Mark R H Gotham ,Musical Micro-Timing for Live Coding,2023,http://ismir2023program.ismir.net/poster_93.html,"Max Johnson, University of Cambridge; Mark R H Gotham , Durham","music composition, performance, and production; rhythm, beat, tempo; symbolic music processing; mathematical music theory; human-computer interaction"
10,Francisco J. Castellanos; Antonio Javier Gallego; Ichiro Fujinaga ,A Few-Shot Neural Approach for Layout Analysis of Music Score Images,2023,http://ismir2023program.ismir.net/poster_47.html,"Francisco J. Castellanos, University of Alicante; Antonio Javier Gallego, Universidad de Alicante; Ichiro Fujinaga , McGill University",optical music recognition; machine learning/artificial intelligence for music
11,Behzad Haki; Błażej Kotowski; Cheuk Lun Isaac Lee; Sergi Jordà ,TapTamDrum: A Dataset for Dualized Drum Patterns,2023,http://ismir2023program.ismir.net/poster_33.html,"Behzad Haki, Universitat Pompeu Fabra; Błażej Kotowski, MTG; Cheuk Lun Isaac Lee, Universitat Pompeu Fabra ; Sergi Jordà , Universitat Pompeu Fabra","novel datasets and use cases; representations of music; rhythm, beat, tempo"
12,Andrea Martelloni; Andrew McPherson; Mathieu Barthet ,Real-Time Percussive Technique Recognition and Embedding Learning for the Acoustic Guitar,2023,http://ismir2023program.ismir.net/poster_48.html,"Andrea Martelloni, Queen Mary University of London; Andrew McPherson, QMUL; Mathieu Barthet , Queen Mary University of London","automatic classification; music composition, performance, and production; human-computer interaction; music signal processing; music interfaces and services"
13,Hiromu Yakura; Masataka Goto ),IteraTTA: An Interface for Exploring Both Text Prompts and Audio Priors in Generating Music With Text-to-Audio Models,2023,http://ismir2023program.ismir.net/poster_80.html,"Hiromu Yakura, University of Tsukuba; Masataka Goto ), National Institute of Advanced Industrial Science and Technology AIST","music composition, performance, and production; machine learning/artificial intelligence for music; human-computer interaction; music interfaces and services"
